id,token0_symbol,token0_decimals,token0_id,token1_symbol,token1_decimals,token1_id,sqrtPrice,totalValueLockedUSD,totalValueLockedToken0,totalValueLockedToken1,volumeUSD,feeTier,price_token1_per_token0,price_token0_per_token1,pair
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WSTETH,18,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,86381790789926288223151117689,19153294.5062362,519.2176748425363,5106.355237665253,22301911173.971714,100,1.0902914828344532,0.9171859229793113,WSTETH/WETH
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE,18,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,24924197560785215189816062898,19055264.80312598,26876.44318065753,3034.4367340060226,1673751661.499527,3000,0.31458760079533377,3.17876482566961,AAVE/WETH
0xd4f56e41e77e2594e89473c7ec03f3f8f6ed315b,LBTC,8,0x8236a87084f8b84306f72007f36f2618a5634494,CBBTC,8,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,79250859349599920986205300298,18782148.896610968,92.50738876,107.8169614,0.0,500,1.0002864743370956,0.9997136077069467,LBTC/CBBTC
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WEETH,18,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,77095492827316762130157759115,18485560.016840376,5038.499127614186,405.14602946005385,3125776135.3818545,500,0.9730819241634738,1.0276627025619316,WETH/WEETH
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,WM,6,0x437cc33344a0b27a429f795ff6b469c72698b291,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79231603215308097447120820419,18016328.418905262,2368467.004396,15647655.695644,82965917.657162,100,1.0000434277526395,0.9999565741332482,WM/USDC
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,LDO,18,0x5a98fcbea516cf06857215779fd812ca3bef1b32,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1825297270041916707719795095,17204819.928980377,3988075.5965617145,3024.5471779551917,3286828313.2824593,3000,0.023038490507883327,43.405621547028844,LDO/WETH
0x40e629a26d96baa6d81fae5f97205c2ab2c1ff29,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETHM,18,0xf80fc1ce16cbcbd18421e9cd055ca1bb58a9e097,79228162377394253868906205774,16333656.917841004,5001.017342693791,5000.982765902598,348.84472021348006,500,0.9999999982724566,1.0000000017275434,WETH/ETHM
0x68082ecc5bbad8fe77c2cb9d0e3403d9a00ccbc2,WDOGE,18,0x35a532d376ffd9a705d0bb319532837337a398e7,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,773880389163859550914658251,16029778.558361761,34001064.79984127,1497.1808281751635,227221585.67109713,10000,0.00976774374925746,102.37778812287327,WDOGE/WETH
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA,18,0x57e114b691db790c35207b2e685d4a43181e6061,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1333981277681905296366706133,15810436.682904588,6335867.480631163,2928.4578439787124,1784453809.5552754,3000,0.016837210852160476,59.39225972641926,ENA/WETH
0x948b54a93f5ad1df6b8bff6dc249d99ca2eca052,FET,18,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1567969961019086848725020207,15797486.07645759,8902229.711267183,1234.0492647110188,361890432.25492203,10000,0.019790563244941942,50.52913288132814,FET/WETH
0x3b685307c8611afb2a9e83ebc8743dc20480716e,FTM,18,0x4e15361fd6b4bb609fa63c81a2be19d873717870,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1211045660977527558190564701,15519133.852972098,8770366.503570052,2588.395987014761,1558752240.259415,10000,0.015285545222123375,65.42128432243689,FTM/WETH
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,18,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79217010556265668053269,15410002.004792951,11614825.064128952,3795176.940664,7530101255.925974,500,999859.2425010909,1.0001407773143718e-06,DAI/USDC
