id,pair_symbol,token0_symbol,token1_symbol,token0_id,token1_id,token0_pyth_price,token1_pyth_price,trade_path,gas_cost,uniswap_fee,trade_cost,liquidity_rate_token0,variable_borrow_rate_token0,profitable_token0,liquidity_rate_token1,variable_borrow_rate_token1,profitable_token1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC/WETH,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99997984000000006421515763577190227806568145751953125,3385.132314360000236774794757366180419921875,USDC -> WETH,0,0.000500,0.005499889120000000353183366997,0,0,True,,,
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC/WETH,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99997984000000006421515763577190227806568145751953125,3385.132314360000236774794757366180419921875,WETH -> USDC,0,0.000500,18.61822772898000130226137117,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC/WETH,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,95979.7667866499978117644786834716796875,3385.132314360000236774794757366180419921875,WBTC -> WETH,0,0.003000,767.8381342931999824941158295,0,0,True,,,
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC/WETH,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,95979.7667866499978117644786834716796875,3385.132314360000236774794757366180419921875,WETH -> WBTC,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC/WETH,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99997984000000006421515763577190227806568145751953125,3385.132314360000236774794757366180419921875,USDC -> WETH,0,0.003000,0.007999838720000000513721261086,0,0,True,,,
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC/WETH,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99997984000000006421515763577190227806568145751953125,3385.132314360000236774794757366180419921875,WETH -> USDC,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH/USDT,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3385.132314360000236774794757366180419921875,0.998915989999999975879063640604726970195770263671875,WETH -> USDT,0,0.003000,27.08105851488000189419835806,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH/USDT,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3385.132314360000236774794757366180419921875,0.998915989999999975879063640604726970195770263671875,USDT -> WETH,0,0.003000,0.007991327919999999807032509125,,,,0,0,True
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC/USDC,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,95979.7667866499978117644786834716796875,0.99997984000000006421515763577190227806568145751953125,WBTC -> USDC,0,0.003000,767.8381342931999824941158295,0,0,True,,,
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC/USDC,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,95979.7667866499978117644786834716796875,0.99997984000000006421515763577190227806568145751953125,USDC -> WBTC,0,0.003000,0.007999838720000000513721261086,,,,0,0,True
