Pool,Amount Token0,Amount Token1,Amount USD,Sender,Timestamp
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-76864.249013,23.0592457170393,76941.44418438073,0x5dc62cea20b0e7c3607adcc61a885ff9369dbc60,2025-01-01 02:25:59
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-48096.501634,14.424746321131714,48137.81446401583,0x51c72848c68a965f66fa7a88855f9f7784502a7f,2025-01-01 02:25:47
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-116.687631,0.035,116.7943912588536,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-01-01 02:25:47
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-33.346767,0.01,33.373548002529596,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-01-01 02:25:35
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-79800.267528,23.92600922886479,79856.96276510833,0x5dc62cea20b0e7c3607adcc61a885ff9369dbc60,2025-01-01 02:25:23
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-89134.46859,26.71416586199263,89180.33073931372,0x5dc62cea20b0e7c3607adcc61a885ff9369dbc60,2025-01-01 02:24:59
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-250.560751,0.0750790991829,250.66370620561653,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2025-01-01 02:24:47
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18618.854048,-5.573692731114835,18617.58557361712,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2025-01-01 02:24:35
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10088.111226,-3.020152011747024,10087.7591548821,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-01-01 02:23:35
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,600.0,-0.17963085556691838,599.9864837697671,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2025-01-01 02:23:23
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0.0191833,-0.5354085576055272,1790.9821391132207,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2025-01-01 01:54:59
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-1.51886498,42.61223745417039,142055.26559166925,0xb28ca7e465c452ce4252598e0bc96aeba553cf82,2025-01-01 01:32:35
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0.00157957,-0.044014130736173496,147.4761362376001,0x7c81247ae0a35b03e3f4a704dcd6b101dca53abd,2024-12-31 22:49:47
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-0.00583463,0.16355973290967588,547.1515888326401,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-12-31 22:13:47
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0.30763769,-8.573534320447338,28739.76126851327,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,2024-12-31 20:13:47
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0.00071994,-0.02006715187027425,67.26274225392518,0x00000000ede6d8d217c60f93191c060747324bca,2024-12-31 20:09:35
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-0.21701961,6.084845167745289,20271.7988013898,0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,2024-12-31 16:36:59
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-0.2690365,7.541407209115809,25128.469876190287,0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,2024-12-31 16:35:47
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-0.44571939,12.489409358575248,41637.26158380122,0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,2024-12-31 15:26:23
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,-0.21361774,5.983693951465679,19949.669194368857,0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,2024-12-31 15:25:59
