id,token0_symbol,token0_decimals,token0_id,token1_symbol,token1_decimals,token1_id,sqrtPrice,totalValueLockedUSD,totalValueLockedToken0,totalValueLockedToken1,volumeUSD,feeTier,price_token1_per_token0,price_token0_per_token1,pair,adjusted_price_token1_per_token0,adjusted_price_token0_per_token1,adjusted_price_token1_per_token0_scaled,adjusted_price_token0_per_token1_scaled,constant_k,calculated_tvl_usd
0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,WBTC,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,CBBTC,8,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,79203321266841143404393779357,47473709.46742221,16.59867486,492.27377628,4069057155.327634,100,0.9996864593771347,1.0003136389614207,WBTC/CBBTC,0.9993730170619917,1.0006273762922393,9.993730170619916e-09,1.0006273762922393e-08,8171.0923545761,508.72330930470895
0xc5c134a1f112efa96003f8559dba6fac0ba77692,WHITE,18,0x5f0e628b693018f639d10e4a4f59bd4d8b2b6b44,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103554669943310361365069596601,45625690.2034398,2999.6909117518244,8540.287808921563,11753159.973300362,100,1.3070436907414866,0.7650853656106166,WHITE/WETH,1.7083632095071268,0.5853556166715309,1.7083632095071268e-18,5.853556166715309e-19,25618223.724166915,13457.548915703852
0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,TURBO,18,0xa35923162c49cf95e6bf26623385eb431ad920d3,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,133454761838254382580135540,44523371.91018107,4066783944.9247317,1783.4452856497007,751483643.761296,10000,0.0016844359076764784,593.6705548977559,TURBO/WETH,2.8373243270698812e-06,352444.7277526094,2.8373243270698812e-24,3.524447277526094e-13,7252886654331.905,2414329881235.754
0x87428a53e14d24ab19c6ca4939b4df93b8996ca9,WBTC,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,LBTC,8,0x8236a87084f8b84306f72007f36f2618a5634494,79154807435549791533237993833,38462670.00521946,263.25861112,148.65707737,279680019.2826952,500,0.9990741287392431,1.0009267292927757,WBTC/LBTC,0.9981491147160774,1.0018543174127337,9.981491147160774e-09,1.0018543174127337e-08,39135.25572158458,412.0220206408553
0x04708077eca6bb527a5bbbd6358ffb043a9c1c14,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,METH,18,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,77197730848912636997822355555,35666464.71364466,5451.977786505369,4942.784290869285,261038841.4135948,500,0.9743723494157001,1.0263017013974873,WETH/METH,0.949401475305871,1.0532951822913774,9.49401475305871e-19,1.0532951822913775e-18,26947950.157307032,10411.486420421086
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,79314239885454268574911569635,32868909.613975,5678563.085341,27190346.528634,91438233708.89555,100,1.001086449167295,0.9989147299234759,USDC/USDT,1.0021740787063829,0.9978306376580911,1.0021740787063828e-06,9.97830637658091e-07,154402098075130.84,32892287.76872532
0xf4c5e0f4590b6679b3030d29a84857f226087fef,MNT,18,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1497451477147051913707542625,32184289.312595922,12709324.349740025,5094.980680183086,408316405.26735467,3000,0.01890049484458823,52.90866764191254,MNT/WETH,0.0003572287053703064,2799.3271116423616,3.572287053703064e-22,2.7993271116423617e-15,64753762020.105896,672433514.2713172
0x99950bae3d0b79b8bee86a8a208ae1b087b9dcb0,TRX,6,0x50327c6c5a14dcade707abad2e27eb517df87ab5,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,696891954824292320487550604412396,31413202.36142228,30595633.785649,7022.764852842428,269416406.56023854,500,8.796013093182907e-09,113687870.7894399,TRX/WETH,77369846.33544515,1.2924931964636381e-08,7.736984633544515e-11,1.292493196463638e-14,214865941600.29413,3478352460543885.5
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WEETH,18,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,77110016741454553035041002904,31200716.868098404,9273.329773269368,67.57676345824098,4264076214.076906,100,0.9732652417323394,1.0274691390602573,WETH/WEETH,0.9472452307643091,1.0556928317212264,9.472452307643091e-19,1.0556928317212263e-18,626661.6125584875,9593.830273385604
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,18,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,53115686986185864002539330939,30138207.750877406,15237.379771771972,2148.487669828467,3232766090.1885705,3000,0.670414222677736,1.4916151331125531,MKR/WETH,0.44945522996859294,2.2249157053303796,4.494552299685929e-19,2.2249157053303796e-18,32737322.56014578,24168.682947658926
