Pool ID,Pair,Token0 Pyth Price,Token1 Pyth Price,Expected Price,Uniswap Price,Price Deviation (%)
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC/WETH,0.99998961,3353.04962366,0.0002982328692494767,0.00029823093664398137,0.0006480189458068705
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC/WETH,0.99998961,3353.04962366,0.0002982328692494767,0.0002987741799306567,0.18150604342916138
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC/WETH,92682.36467857,3353.04962366,27.641214739137425,27.68811548445605,0.16967686030171159
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH/USDT,3353.04962366,0.99843691,3358.2989471613187,3353.5135706398346,0.14249406014103908
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC/USDC,92682.36467857,0.99998961,92683.32765834437,92537.44674469781,0.15739714718090048
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC/WETH,92682.36467857,3353.04962366,27.641214739137425,27.631792467282864,0.03408776330376378
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC/USDT,92682.36467857,0.99843691,92827.46235670513,92655.64633071533,0.1850918054072987
0x11950d141ecb863f01007add7d1a342041227b58,PEPE/WETH,1.8986500000000002e-05,3353.04962366,5.66245720493555e-09,5.641875872110514e-09,0.3634699933289832
0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH/USDT,3353.04962366,0.99843691,3358.2989471613187,3358.99549764689,0.020741169756792018
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK/WETH,20.33650305,3353.04962366,0.006065076671248849,0.006061170617896723,0.06440237385032611
0xf239009a101b6b930a527deaab6961b6e7dec8a6,PEPE/WETH,1.8986500000000002e-05,3353.04962366,5.66245720493555e-09,5.615239391839595e-09,0.8338749660624145
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI/USDC,1.00010777,0.99998961,1.0001181612276953,1.0000158284661707,0.010232067118846569
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI/WETH,13.248192,3353.04962366,0.003951087364325679,0.003965078716369865,0.3541139629185048
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI/WETH,1.00010777,3353.04962366,0.0002982681088114463,0.00029877207877027155,0.1689654186743172
0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,WBTC/CBBTC,92682.36467857,92816.85174604,0.9985510490289201,0.9984106859113708,0.014056679193891596
0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,TURBO/WETH,0.00898035,3353.04962366,2.6782633745209995e-06,2.6860686391803484e-06,0.29143006373466784
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC/USDT,0.99998961,0.99843691,1.0015551308094168,1.0014847303835888,0.007029111395115861
0xf4c5e0f4590b6679b3030d29a84857f226087fef,MNT/WETH,1.2355147,3353.04962366,0.0003684749224353506,0.00036674318773646905,0.46997355679892894
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,WETH/WEETH,3353.04962366,3537.00174327,0.9479920755029275,0.946677560226818,0.13866310806576035
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,WETH/SOL,3353.04962366,190.27831962,17.62181645474004,17.660599114179174,0.22008321071068326
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB/WETH,2.07046e-05,3353.04962366,6.174856421420935e-09,6.212299514348947e-09,0.6063799766763825
0x60594a405d53811d3bc4766596efd80fd545a270,DAI/WETH,1.00010777,3353.04962366,0.0002982681088114463,0.00029849006028740386,0.07441341175963735
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,WETH/WEETH,3353.04962366,3537.00174327,0.9479920755029275,0.9467903394292104,0.1267664682829271
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WSTETH/WETH,3985.22177272,3353.04962366,1.1885364727677237,1.188636891326069,0.008448925266167025
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE/WETH,1.21375339,3353.04962366,0.0003619849170842676,0.00036131386173276695,0.1853821305334838
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE/WETH,311.16791834,3353.04962366,0.09280146531214968,0.09262834081953818,0.18655361963215933
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA/WETH,0.92721192,3353.04962366,0.0002765279444292589,0.0002768444362454228,0.11445201924063886
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI/USDC,1.00010777,0.99998961,1.0001181612276953,0.9997628759021098,0.03552433495951553
0x7832310cd0de39c4ce0a635f34d9a4b5b47fd434,MOG/WETH,2.0553e-06,3353.04962366,6.129643848684083e-10,6.193542122603903e-10,1.0424467635837875
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB/WETH,2.07046e-05,3353.04962366,6.174856421420935e-09,6.160489993433455e-09,0.23266011396867659
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC/WETH,0.99998961,3353.04962366,0.0002982328692494767,0.00029849317045779495,0.08728119371056935
0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC/USDT,0.99998961,0.99843691,1.0015551308094168,1.0018765217237275,0.03208918854531284
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,WETH/USDT,3353.04962366,0.99843691,3358.2989471613187,3359.1745530576586,0.026072899111027965
0x15aa01580ae866f9ff4dbe45e06e307941d90c7b,WETH/CBBTC,3353.04962366,92816.85174604,0.03612544016074168,0.0361389315176054,0.037345861541590995
